web-scraper-order,web-scraper-start-url,house_listings,house_listings-href,rental,rooms,bath,area,address,type,Description,listing_agent_name,listing_agent_phone,parking,date_available,cooling,heating,pets,deposit,laundry,image_url-src
1598218854-68,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"3543 Morning Dove Cir, Lawrence, KS 66049",https://www.zillow.com/homedetails/3543-Morning-Dove-Cir-Lawrence-KS-66049/74574624_zpid/,"$1,200 ",3,2,"1,311","3543 Morning Dove Cir,",Townhouse for rent,"Attractive 3 bedroom townhouse with main level bedroom and laundry, 2 more bedrooms up, 2 full baths and 2 car garage. Wood laminate flooring throughout the main level. All with a fenced back yard and a nice side patio off dining area to sit and enjoy the day. Tenant is responsible for all lawn care and snow removal, must a minimum credit score of 700. Tenant responsible for gas, water, electric utility, etc.",Leon,null,2 spaces,Available now,Other,Forced air,Cats,"$1,200 ",In Unit,
1598218833-61,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1719 Tennessee St, Lawrence, KS 66044",https://www.zillow.com/homedetails/1719-Tennessee-St-Lawrence-KS-66044/217717812_zpid/,"$1,800 ",4,1,"1,800",,House for rent,"Updated home in great lawrence location, close to mass street and campus! Home features fenced in back yard, basement, washer and dryer on site, cute front and back porch, custom cabinetry and granite counter tops and original hardwood floors! Tenant pays for utilities, owner will maintain lawn. Willing to work with tenant on duration of lease due to COVID-19",Danielle Ashner,(913) 523-3998,Off street,Available now,Other,Forced air,"Cats, large dogs, small dogs","$1,800 ",In Unit,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218972-126,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"4418 Adam Ave, Lawrence, KS 66047",https://www.zillow.com/homedetails/4418-Adam-Ave-Lawrence-KS-66047/126647263_zpid/,"$1,350 ",3,2,"1,700",,Townhouse for rent,"At 1700 sq ft, this townhome has 3 bedrooms, 2 bathrooms, multiple living areas, a two car garage, a main level master bedroom, and lots of storage space. It includes a washer/dryer, a microwave, a wood burning fireplace, a private driveway and patio, and an onsite pool! Located at Clinton Parkway and Inverness, this community is on the KU bus route and is in close proximity to Sunflower Elementary, Southwest Middle School, and Raintree Montessori. Monthly Rent: $1350, Deposit: one months rent Pet friendly with paid pet deposit, $50 monthly fee, and appropriate documentation! (Maximum 2 approved pets, no aggressive breeds) Apply today with no application fee! Lease through July 26, 2021. Tenant pays all utilities.",Garber Enterprises Inc,(785) 509-7870,"Off street, Detached Garage",Available now,Other,Forced air,"Cats, small dogs","$1,350 ",In Unit,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218999-132,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"Ironwood Court | 1501 George Williams Way, Lawrence, KS",https://www.zillow.com/b/ironwood-court-lawrence-ks-5XrcZR/,null,null,null,null,,null,null,Leasing Agent,(785) 992-4189,null,null,null,null,null,null,null,
1598218849-65,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"2803 W 9th St, Lawrence, KS 66049",https://www.zillow.com/homedetails/2803-W-9th-St-Lawrence-KS-66049/74577698_zpid/,"$1,325 ",3,2,"1,200","2803 W 9th St,",House for rent,"Located a short walk from Centennial Park, Ludlam Park, and Iowa St you'll find this 3 bedroom, 2 bath home with off street parking, attached garage, spacious corner lot, and 1,200 sq feet of great living space.",BPM,(785) 865-6603,"Off street, Detached Garage",Available now,Other,Forced air,Contact manager,"$1,325 ",In Unit,
1598218972-125,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"4418 Adam Ave, Lawrence, KS 66047",https://www.zillow.com/homedetails/4418-Adam-Ave-Lawrence-KS-66047/126647263_zpid/,"$1,350 ",3,2,"1,700","Lawrence, KS 66047",Townhouse for rent,"At 1700 sq ft, this townhome has 3 bedrooms, 2 bathrooms, multiple living areas, a two car garage, a main level master bedroom, and lots of storage space. It includes a washer/dryer, a microwave, a wood burning fireplace, a private driveway and patio, and an onsite pool! Located at Clinton Parkway and Inverness, this community is on the KU bus route and is in close proximity to Sunflower Elementary, Southwest Middle School, and Raintree Montessori. Monthly Rent: $1350, Deposit: one months rent Pet friendly with paid pet deposit, $50 monthly fee, and appropriate documentation! (Maximum 2 approved pets, no aggressive breeds) Apply today with no application fee! Lease through July 26, 2021. Tenant pays all utilities.",Garber Enterprises Inc,(785) 509-7870,"Off street, Detached Garage",Available now,Other,Forced air,"Cats, small dogs","$1,350 ",In Unit,
1598218833-59,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1719 Tennessee St, Lawrence, KS 66044",https://www.zillow.com/homedetails/1719-Tennessee-St-Lawrence-KS-66044/217717812_zpid/,"$1,800 ",4,1,"1,800","1719 Tennessee St,",House for rent,"Updated home in great lawrence location, close to mass street and campus! Home features fenced in back yard, basement, washer and dryer on site, cute front and back porch, custom cabinetry and granite counter tops and original hardwood floors! Tenant pays for utilities, owner will maintain lawn. Willing to work with tenant on duration of lease due to COVID-19",Danielle Ashner,(913) 523-3998,Off street,Available now,Other,Forced air,"Cats, large dogs, small dogs","$1,800 ",In Unit,
1598219030-144,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1000 Rhode Island St APT 3, Lawrence, KS 66044",https://www.zillow.com/homedetails/1000-Rhode-Island-St-APT-3-Lawrence-KS-66044/2088617501_zpid/,$825 ,1,1,700,"Lawrence, KS 66044",Apartment for rent,"Large apartment! With in walking distance to down town Lawrence, close to shopping, restaurants, entertainment! Charming 1 bedroom apt. Large rooms! Whole second floor of duplex. Approx 700 sq ft. 2 blocks from downtown Lawrence. Quiet neighborhood. Off street parking, close to entertainment and dining. Large bathroom, updated kitchen with refrigerator, stove, disposal, microwave. Hardwood floors. Window a/c. Available September 15th. $825.00 per month, includes water/sewer/trash. Deposit $825.00, $50.00 application fee per person. On the corner with the ""Keebler Tree"". One cat o.k. with pet deposit and pet rent. No dogs. Non smokers. Upper floor apartment, involves some stairs. Call Allen with questions or for an appointment. Please, no texts. One small pet with pet deposit and pet rent. Non smokers. Water paid, tenant pays gas and electric.",Allen Kennedy,(913) 226-5741,Off street,14-Sep,Contact manager,Contact manager,Cats,$825 ,Contact manager,
1598218849-67,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"2803 W 9th St, Lawrence, KS 66049",https://www.zillow.com/homedetails/2803-W-9th-St-Lawrence-KS-66049/74577698_zpid/,"$1,325 ",3,2,"1,200",,House for rent,"Located a short walk from Centennial Park, Ludlam Park, and Iowa St you'll find this 3 bedroom, 2 bath home with off street parking, attached garage, spacious corner lot, and 1,200 sq feet of great living space.",BPM,(785) 865-6603,"Off street, Detached Garage",Available now,Other,Forced air,Contact manager,"$1,325 ",In Unit,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598219014-137,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1513 W 22nd Ter APT B, Lawrence, KS 66046",https://www.zillow.com/homedetails/1513-W-22nd-Ter-APT-B-Lawrence-KS-66046/2083529795_zpid/,$750 ,2,1,900,,Townhouse for rent,"This two bedroom, one bathroom is nestled in a neighborhood close to campus, dining and shopping. This home has all of the appliances you need, including a full size washer and dryer in unit. This unit comes with one reserved parking space at no additional cost! This spacious home will be ready for September 9th! We are pet friendly with an additional deposit and monthly pet rent. Please inquire about restrictions. Application is online, please email for link. Application fee is $35/person over 18. Tenant pays all utilities (gas, water, electric); maintenance, lawn care and snow removal provided",Berger Property Collection,(785) 390-8373,Off street,9-Sep,Other,Forced air,"Cats, small dogs",$750 ,In Unit,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598219003-133,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"Bauer Farms | 4541 Bauer Farm Dr, Lawrence, KS",https://www.zillow.com/b/bauer-farms-lawrence-ks-B6bgwJ/,null,null,null,null,,null,null,Leasing Agent,(785) 282-7671,null,null,null,null,null,null,null,
1598218966-123,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"730 Illinois St, Lawrence, KS 66044",https://www.zillow.com/homedetails/730-Illinois-St-Lawrence-KS-66044/74578946_zpid/,"$2,200 ",3,2,"1,446",,House for rent,"Updated historic home in the heart of Old West Lawrence. It's blocks from both downtown and the University of Kansas Campus. The house is newly updated with marble countertops in the kitchen, new floors and quartz countertops in the bathrooms and fresh paint throughout the house. It has 3 bedrooms and 2 full baths, a spacious living room and kitchen, beautiful decked backyard. There's lots of natural light and it has been professionally decorated. Rent un-furnished for $2,050/month. All utilities responsibility of tenants. No Satellite--Cable only.",Chris Schmid,(785) 390-8374,Off street,1-Sep,Other,Forced air,Contact manager,"$2,200 ",In Unit,https://photos.zillowstatic.com/p_e/ISblmo5o391yex0000000000.jpg
1598218833-60,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1719 Tennessee St, Lawrence, KS 66044",https://www.zillow.com/homedetails/1719-Tennessee-St-Lawrence-KS-66044/217717812_zpid/,"$1,800 ",4,1,"1,800","Lawrence, KS 66044",House for rent,"Updated home in great lawrence location, close to mass street and campus! Home features fenced in back yard, basement, washer and dryer on site, cute front and back porch, custom cabinetry and granite counter tops and original hardwood floors! Tenant pays for utilities, owner will maintain lawn. Willing to work with tenant on duration of lease due to COVID-19",Danielle Ashner,(913) 523-3998,Off street,Available now,Other,Forced air,"Cats, large dogs, small dogs","$1,800 ",In Unit,
1598218946-110,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"850 Highland Dr, Lawrence, KS 66044",https://www.zillow.com/homedetails/850-Highland-Dr-Lawrence-KS-66044/217732904_zpid/,$600 ,2,1,750,"850 Highland Dr,",Apartment for rent,"Bright Upper 2 bedroom in quaint Hillcrest Neighborhood. Walking distance to beautiful downtown Lawrence, The Merc Grocery, Hillcrest Shopping Center, Hillcrest Elementary, Bus stop, laundry and the KU Campus. Tenant pays utilites",Leasing Inlawrence,null,Off street,Contact manager,Other,Forced air,Contact manager,$600 ,Contact manager,
